Level,Codes,Onderwerpen,Totaal bedrijven,2-100 FTE,1 FTE,2 FTE,3-5 FTE,5-10 FTE,10-20 FTE,20-50 FTE,50-100 FTE,100+ FTE
4,8891,8891 Kinderopvang en peuterspeelzaalwerk,10040,2200,7760,410,440,545,435,270,100,80
4,4321,4321 Elektrotechnische bouwinstallatie,7555,2185,5315,630,445,505,330,215,60,55
4,4752,4752 Winkels in doe-het-zelfartikelen,3820,2185,1620,695,645,540,215,65,10,15
3,146,0146 Varkenshouderij,3785,2155,1630,1375,615,140,20,5,0,0
3,949,"949 Ide�le, belangen-, hobbyverenigingen",9690,2125,7530,580,515,470,275,205,85,35
4,4711,4711 Supermarkten,3040,2110,870,435,395,380,220,530,145,60
3,119,0119 Teelt van andere eenjarige gewassen,4010,2100,1910,1040,525,340,130,55,5,0
5,43221,43221 Loodgieters- en fittersbedrijven,6485,2080,4385,655,515,485,275,120,30,20
5,86919,86919 Overige paramedische praktijken,32325,2070,30250,1330,485,195,50,15,5,5
3,562,562 Kantines en catering,8200,2045,6135,1050,470,300,155,55,15,20
4,4791,"4791 Postorderbedrijven, webwinkels",31720,2040,29660,1310,425,175,70,45,20,20
5,88911,88911 Kinderopvang,9720,2035,7610,375,400,495,415,250,95,75
3,504,504 Binnenvaart (vracht- en sleepvaart),3190,2030,1155,1095,565,280,60,20,5,5
4,5040,5040 Binnenvaart (vracht- en sleepvaart),3190,2030,1155,1095,565,280,60,20,5,5
5,85592,85592 Bedrijfsopleiding en -training,18720,2025,16680,1205,350,215,125,95,30,15
4,4399,4399 Overige gespecialiseerde bouw,12135,2025,10095,895,445,340,200,120,30,15
5,78201,78201 Uitzendbureaus,3545,1970,1235,280,270,340,355,450,270,340
3,493,493 Personenvervoer over de weg,6630,1955,4635,680,530,375,190,125,50,40
3,522,522 Dienstverlening voor vervoer,6175,1930,4135,530,380,395,275,245,105,110
3,749,749 Overige adviesbureaus,19610,1905,17695,1015,405,255,140,65,20,10
4,7490,7490 Overige adviesbureaus,19610,1905,17695,1015,405,255,140,65,20,10
4,4332,4332 Timmerbedrijven (bouw),16570,1890,14680,1120,405,240,95,25,5,0
3,107,107 Brood- en deegwarenindustrie,2905,1885,980,300,375,620,360,170,60,40
3,256,256 Overige metaalbewerkingsindustrie,6490,1845,4635,545,375,405,295,180,45,10
2,33,33 Reparatie en installatie van machines,7010,1835,5125,525,395,410,275,160,70,50
3,551,551 Hotels,3845,1835,1940,520,300,405,330,205,75,70
4,5510,5510 Hotels,3845,1835,1940,520,300,405,330,205,75,70
5,47761,47761 Winkels in bloemen en planten,3255,1835,1420,715,660,385,60,10,0,0
4,4722,4722 Slagerijen en poeliers,2230,1825,405,400,560,665,175,20,0,0
4,9499,9499 Hobbyclubs en overige verenigingen,8630,1800,6795,480,425,410,230,175,80,35
4,1071,1071 Brood- en banketbakkerijen,2690,1795,870,275,365,605,345,150,55,25
4,8899,8899 Ambulante jeugdzorg en welzijnswerk,10000,1790,8135,620,410,295,230,160,75,75
5,50401,50401 Binnenvaart (vrachtvaart),2650,1760,890,980,505,210,50,10,0,0
4,4932,4932 Vervoer per taxi,5815,1725,4065,615,500,335,150,95,40,25
5,47221,47221 Slagerijen,2025,1665,360,355,510,610,165,20,0,0
3,932,932 Overige recreatie,7580,1660,5910,885,410,215,95,45,10,10
5,68204,"68204 Verhuur onroerend goed, geen wonen",5060,1660,3395,1065,415,115,40,20,5,5
2,31,31 Meubelindustrie,7835,1650,6165,630,400,325,170,105,25,20
3,310,310 Meubelindustrie,7835,1650,6165,630,400,325,170,105,25,20
4,5621,5621 Eventcatering,7055,1645,5400,840,365,250,130,50,10,10
2,42,"42 Grond-, water-  en wegenbouw",7295,1640,5590,610,365,285,185,140,55,65
5,70222,70222 Overige managementadviesbureaus,15810,1605,14200,790,355,255,125,60,20,5
5,47713,47713 Winkels in bovenkleding algemeen,2980,1605,1330,655,480,275,105,70,25,45
2,95,95 Reparatie van consumentenartikelen,8975,1550,7420,950,385,155,40,15,5,5
2,28,28 Machine-industrie,2885,1550,1160,205,210,300,340,335,160,175
2,18,18 Grafische industrie,3670,1545,2105,510,330,335,195,130,40,20
4,4781,4781 Markthandel in voedingsmiddelen,3905,1530,2375,800,465,220,35,5,0,0
5,47712,47712 Winkels in dameskleding,3050,1530,1505,725,480,225,50,35,15,15
2,32,32 Overige industrie,5295,1510,3685,615,380,270,155,70,20,100
3,181,181 Drukkerijen en diensten daarvoor,3235,1490,1725,490,315,330,190,125,40,20
5,47641,47641 Winkels in fietsen en bromfietsen,2445,1485,960,510,535,360,70,10,0,0
2,82,82 Overige zakelijke dienstverlening,11400,1480,9870,615,305,245,140,130,50,50
